budget_item_id,category_id,name,expected_amount,notes
employer_income,income,Employer Income,5000,
mortgage,home,Mortgage,-1800,
rent,home,Rent,-1400,
home_ins,home,Home / Renters Insurance,-120,
hoa,home,HOA,-80,
repairs,home,Home Repairs,-100,
loan_a,debts,Loan A,-250,
loan_b,debts,Loan B,-180,
credit_card_a,debts,Credit Card A,-150,
student_loan,debts,Student Loan,-300,
electric,bills_insurance,Electric,-100,
gas_home,bills_insurance,Gas (Home),-60,
water,bills_insurance,Water,-50,
internet,bills_insurance,Internet,-70,
mobile,bills_insurance,Mobile,-80,
med_ins,bills_insurance,Medical Insurance,-400,
dental_ins,bills_insurance,Dental Insurance,-40,
auto_ins,bills_insurance,Auto Insurance,-150,
stream_subs,bills_insurance,Streaming Subscriptions,-50,
groceries,food,Groceries,-400,
restaurants,food,Restaurants,-150,
coffee,food,Coffee,-40,
drive_thru,food,Drive-Thru / Fast Food,-60,
doordash,food,Delivery Apps,-50,
car_payment,auto,Car Payment,-400,
gas_auto,auto,Gas (Auto),-120,
auto_misc,auto,Auto Misc,-50,
parking,auto,Parking,-30,
school,children,School / Lunches,-50,
childcare,children,Childcare,-200,
activities,children,Activities,-80,
clothing,personal,Clothing / Shoes,-100,
barber,personal,Hair / Personal Care,-40,
household,personal,Household Supplies,-60,
supplements,personal,Health & Supplements,-40,
entertainment,entertainment,Entertainment,-60,
apple_games,entertainment,Apps & Subscriptions,-20,
pets,entertainment,Pets,-50,
giving,giving,Charitable Giving,-100,
gifts,giving,Gifts,-50,
emergency_fund,savings,Emergency Fund,-200,
retirement,savings,Retirement,-300,
